"%d Review(s)","%d Đánh giá "
"%s Review(s)","%s Đánh giá"
"(Posted on %s)","(Viết ngày %s)"
"1 star","1 star"
"2 stars","2 stars"
"3 stars","3 stars"
"4 stars","4 stars"
"5 stars","5 stars"
"<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s %3$s</a> <a href=""mailto:%4$s"">(%4$s)</a>","<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s %3$s</a> <a href=""mailto:%4$s"">(%4$s)</a>"
"Add New Review","Thêm đánh giá"
"Add Your Review","Đánh giá của bạn"
"Administrator","Administrator"
"All Reviews","Toàn bộ đánh giá"
"All Reviews of Customer `%s`","All Reviews of Customer `%s`"
"Allow Guests to Write Reviews","Allow Guests to Write Reviews"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Are you sure?","Are you sure?"
"Average Customer Rating","Average Customer Rating"
"Average Customer Rating:","Average Customer Rating:"
"Back","Quay lại"
"Back to Main Product Info","Quay lại trang chi tiết sản phẩm"
"Back to My Reviews","Quay lại trang Đánh giá"
"Back to Product Reviews","Quay lại trang đánh giá sản phẩm"
"Be the first to review this product","Đánh giá sản phẩm này"
"Catalog Product Review View","Catalog Product Review View"
"Catalog Product Reviews List","Catalog Product Reviews List"
"Created On","Tạo ngày"
"Customer","Khách hàng"
"Customer My Account Product Reviews","Customer My Account Product Reviews"
"Customer My Account Review Details","Customer My Account Review Details"
"Customer Reviews","Đánh giá của khách hàng"
"Customers Reviews","Đánh giá của khách hàng"
"Delete","Xóa"
"Delete Review","Xóa Đánh giá này"
"Detailed Rating","Detailed Rating"
"Edit Review '%s'","Sửa Đánh giá này '%s'"
"Guest","Khách"
"How do you rate this product?","How do you rate this product?"
"ID","ID"
"Manage Ratings","Manage Ratings"
"My Product Reviews","Sản phẩm đã đánh giá"
"My Recent Reviews","Đánh giá gần đây"
"Name","Tên"
"Name in Store","Name in Store"
"New Review","Đánh giá mới"
"Nickname","Tên của bạn"
"Nickname can\'t be empty","Nickname can\'t be empty"
"Only registered users can write reviews. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>","Only registered users can write reviews. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>"
"Pending Reviews","Pending Reviews"
"Pending Reviews of Customer `%s`","Pending Reviews of Customer `%s`"
"Please select a product","Please select a product"
"Please select one of each of the ratings above","Please select one of each of the ratings above"
"Posted By","Posted By"
"Price","Giá"
"Product","Sản phẩm"
"Product Name","Tên sản phẩm"
"Product Rating","Product Rating"
"Product Rating:","Product Rating:"
"Product Review (submitted on %s):","Product Review (submitted on %s):"
"Product Reviews","Product Reviews"
"Product SKU","Product SKU"
"Products Reviews","Đánh giá sản phẩm"
"Qty","Qty"
"Rating:","Rating:"
"Review","Đánh giá"
"Review (submitted on %s):","Đánh giá (đăng %s):"
"Review Details","Chi tiết đánh giá"
"Review Form Fields Before","Review Form Fields Before"
"Review by <span>%s</span>","Người viết <span>%s</span>"
"Review can\'t be empty","Đánh giá không được để trống"
"Review summary can\'t be empty","Review summary can\'t be empty"
"Reviews and Ratings","Reviews and Ratings"
"SKU","SKU"
"Save Review","Lưu đánh giá"
"Status","Trạng thái"
"Submit Review", "Gửi đánh giá"
"Summary Rating","Summary Rating"
"Summary of Review","Tiêu đề"
"Summary of Your Review","Tiêu đề"
"Title","Tiêu đề"
"Type","Loại"
"Unable to post the review.","Không thể gửi Đánh giá."
"Update Status","Cập nhật trạng thái"
"View All Reviews","Xem tất cả"
"View Details","Xem chi tiết"
"Visible In","Visible In"
"Websites","Websites"
"Write Your Own Review","Viết Đánh giá của bạn về sản phẩm này"
"You have submitted no reviews.","Bạn không đăng Đánh giá nào."
"You're reviewing:","Đánh giá cho sản phẩm:"
"Your Rating:","Your Rating:"
"Your Review (submitted on %s):","Đánh giá (đăng %s):"
"Your review has been accepted for moderation.","Đánh giá của bạn đã được lưu."
