"Errors Detector","Quản lý lỗi"
"Not Found Pages","Trang 404"
"System Errors","Lỗi hệ thống (system.log)"
"Failed Login Attempts","Thống kê hack admin"
"Settings","Cài đặt"
"Skip if IP is one of","Bỏ qua IP này nếu là"
"Comma-separated list, e.g.: 123.23.7.8, 220.1.1.27, ...","Phân cách IP bằng dấu , vd: 123.23.7.8, 220.1.1.27, ..."
"Skip if Referrer Contains","Bỏ qua các Referer nếu là"
"Comma-separated list, e.g.: site.com, example.com/example/, ...","Phân cách Referer bằng dấu , vd: site.com, example.com/example/, ..."
"Skip if URL Contains","Bỏ qua các URL nếu là"
"Comma-separated list, e.g.: /images/, /some-old-link.html, .swf, ...","Phân cách URL bằng dấu , vd: /images/, /some-old-link.html, .swf, ..."
"Skip if User Agent Contains","Bỏ qua các UserAgent nếu là"
"Comma-separated list, e.g.: bingbot, googlebot, etc., ...","Phân cách UserAgent bằng dấu , vd: bingbot, googlebot, etc., ..."
"Skip if Message Contains","Bỏ qua các Message nếu là"
"Comma-separated list, e.g.: headers, memory limit","Phân cách các Message bằng dấu , vd: headers, memory limit"
"Login Attempts","Số lần login"
"Maximum of Allowed Login Attempts within Timeframe","Số lần login tối đa trong khoảng thời gian"
"A report will be generated and IP will be added to the blacklist (optionally) if the limit is exceeded","Báo cáo sẽ được tạo ra và IP sẽ bị đưa vào danh sách đen nếu lượt login quá"
"Timeframe (seconds)","Khung thời gian (seconds)"
"Count Attempts per IP","Đếm lượt login theo IP"
"Add to Black List","Đưa vào danh sách đen"
"IP Blacklist","Danh sách đen IP"
"IP Whitetist","Danh sách trắng IP"
"Notifications","Báo động"
"Send Errors Summary Each (hours)","Gửi báo động lỗi mỗi (hours)"
"E-mail to Send","Gửi tới E-mail"
"Notify about Not Found Pages","Báo động về lỗi 404 Không tìm thấy"
"Notify about System Errors","Báo động về lỗi System"
"Notify about Exception Errors","Báo động về lỗi Exception"
"Notify about Violations of Failed Login Attempts Limit","Báo động về số lần login quá mức cho phép"
"Are you sure?","Bạn chắc chứ?"
"Date","Ngày"
"Username","Tên"
"IP Address","Địa chỉ IP"
"Type","Loại"
"Logged Error","Các lỗi được ghi lại"
"Page Crash","Các trang bị lỗi"
"Cron Failure","Lỗi chạy cron"
"Error Description","Mô tả lỗi"
"Create Redirect","Tạo redirect"
"General Information","Thông tin chung"
"Store","Kho"
"From","Từ"
"To","Tới"
"Page","Trang"
"Referrer","Referrer"
"Client IP","IP của "
"Delete","Xóa"
"Reports","Báo cáo"
"Errors and Missing Pages","Trang lỗi và 404"
"Not found pages","Trang 404"
"%s have been cleared","%s đã được xóa"
"This url has already have redirect.","URL này đã có redirect."
"Record does not exist","Bản ghi không tim thấy"
"Generated for a wrong URL `%s`","Generated for a wrong URL `%s`"
"Redirect has been successfully saved. See Catalog > Url Rewrites","Redirect has been successfully saved. See Catalog > Url Rewrites"
"Unable to find a record to save","Unable to find a record to save"
"Can not open a log file %s, please make sure logging is enabled in Admin > Configuration > Developer > Log Settings","Can not open a log file %s, please make sure logging is enabled in Admin > Configuration > Developer > Log Settings"
"The %s file is too big, so parsing of it makes no sense, because it can include non valid information. We advise clear this file and collect valid information","The %s file is too big, so parsing of it makes no sense, because it can include non valid information. We advise clear this file and collect valid information"
"Email Sender","Email Sender"
"Clear Error Log by Cron","Clear Error Log by Cron"
"You can change frequency on the config.xml of the extension","You can change frequency on the config.xml of the extension"
