"Account Name","Tên tài khoản"
"Accounts, achievements are also deleted.", "Tài khoản, thành tích của đặc vụ cũng sẽ xóa."
"Accounts List","Danh sách tài khoản"
"Account","Tài khoản",
"Accumulate Point","Điểm biến động"
"Achievement does not exist","Thành tích không tồn tại"
"Achievement Information","Thong tin thành tích"
"Achievement Information","Thông tin thành tích"
"Achievements List","Danh sách thành tích"
"Achievement type does not exist","Hình thức không tồn tại"
"Achievement Type","Hình thức"
"Achievement Type Id","Id hình thức"
"Achievement Type Information","Thông tin hình thức"
"Achievement Type Name","Tên hình thức"
"Active","Hiệu lực"
"Add New Achievement Type","Thêm hình thức mới"
"Add New Channel","Thêm kênh mới"
"Add New Redemption Gift","Thêm quyền lợi mới"
"Add Point","Tăng điểm"
"Add Shopping Cart Price Rules To Remdemption Gift","Chọn Rule giảm giá cho quyền lợi"
"Admin Comment","Comment của admin",
"Agent Account History","Lịch sử tài khoản"
"Agent Account List","Danh sách tài khoản"
"Agent Account","Tài khoản của đặc vụ",
"Agent Achievements List","Danh sách thành tích"
"Agent Achievements","Thành tích"
"Agent Achievement Types List","Danh sách hình thức"
"Agent Channels","Kênh"
"Agent Channels List","Danh sách kênh",
"Agent Code Id","Mã đặc vụ"
"Agent does not exist","Không tồn tại đặc vụ"
"Agent Info List","Danh sách thông tin đặc vụ"
"Agent Information","Thông tin đặc vụ"
"Agent Information","Thông tin đặc vụ"
"Agent Info","Thông tin đặc vụ"
"Agent Name","Tên đặc vụ"
"Agent Un-verified Achievements List","Danh sách thành tích có thể phê duyệt"
"Agent Verified Achievements List","Danh sách thành tích đã phê duyệt"
"Already exist achievement type with same name and channel","Đã tồn tại thành tích cùng tên và kênh"
"Already exist channel with same name and type","Đã tồn tài kênh cùng tên và loại"
"Already exist Gift with same name, salesrule and point","Đã tồn tài quyền lợi cùng tên, rule và điểm"
"Available Point","Điểm khả dụng"
"Cannot update account having achievements","Không thể chỉnh sửa tài khoản đã có thành tích"
"Cannot update achievement type having achievement","Không thể chỉnh sửa hình thức đã có thành tích"
"Cannot update channel having accounts","Không thể chỉnh sửa kênh đã có tài khoản"
"Cannot update channel having achievement types","Không thể chỉnh sửa kênh đã có hình thức"
"Cannot update declined achievement (except status)","Không thể chỉnh sửa thành tích đã được phê duyệt (chỉ được cập nhật trạng thái)"
"Cannot update redemption gift used","Không thể chỉnh sửa quyền lợi đã được sử dụng"
"Cannot update verified account","Không thể chỉnh sửa tài khoản đã được phê duyệt"
"Cannot update verified achievement","Không thể chỉnh sửa thành tích đã được phê duyệt"
"Change Point","Thay đổi điểm"
"Channel does not exist","Không tồn tại kênh"
"Channel Id","Id kênh"
"Channel Information","Thông tin kênh"
"Channel Name","Tên kênh"
"Channel Type","Hệ thống"
"Coupon Code","Mã giảm giá",
"Deactive","Vô hiệu"
"Declined","Từ chối"
"Decline","Từ chối",
"Delete Achievement Type","Xóa hình thức"
"Delete Achievement","Xóa thành tích",
"Delete Agent","Xóa đặc vụ"
"Delete Channel","Xóa kênh",
"Delete Redemption Gift","Xóa quyền lợi"
"Do you want to active this achievement type?","Bạn có chắc chắn bỏ vô hiệu hình thức này?"
"Do you want to active this channel?","Bạn có chắc chắn bỏ vô hiệu kênh này?"
"Do you want to deactive this achievement type?","Bạn có chắc chắn vô hiệu hình thức này?"
"Do you want to deactive this channel?","Bạn có chắc chắn vô hiệu kênh này?"
"Do you want to delete this achievement type?","Bạn có muốn xóa hình thức này?"
"Do you want to delete this agent?","Bạn có muốn xóa đặc vụ này?"
"Do you want to delete this channel?","Bạn có muốn xóa kênh này?"
"Do you want to delete this redemption gift?","Bạn có muốn xóa quyền lợi này?"
"Do you want to recover this agent? Accounts, achievements are also recovered.","Bạn có muốn lấy lại đặc vụ này? Tài khoản, thành tích cũng sẽ được lấy lại."
"Edit Achievement Type #%s","Sửa hình thức #%s"
"Edit Agent #%s","Sửa đặc vụ #%s"
"Edit Channel #%s","Sửa thông tin kênh #%s"
"Edit Redemption Gift #%s","Sửa quyền lợi #%s"
"Email","Email"
"Forum","Diễn đàn"
"Gift Name","Tên quyền lợi"
"History Id","Id Lịch sử"
"History","Lịch sử"
"Inactive","Vô hiệu"
"Is Active?","Hiệu lực?"
"Is Coupon Used?","Đã sử dụng?"
"Is Deleted?","Đã bị xóa?"
"Manage Account","Quản lý tài khoản"
"Manage Achievements","Quản lý thành tích"
"Manage Achievement Types","Quản lý hình thức"
"Manage Agent Info","Quản lý thông tin chung"
"Manage Channels","Quản lý kênh"
"Manage Redemption Gifts","Quản lý quyền lợi"
"Manage Redemption Histories","Quản lý lịch sử quy đổi"
"# of Declined Post","# Thành tích từ chối"
"# of Require to Update Post","# Thành tích cần cập nhật"
"# of Verified Post","# Thành tích phê duyệt"
"# of Waiting to Verify Post","# Thành tích đang chờ duyệt"
"Other reason","Lí do khác"
"Phone Number","Số điện thoại"
"Point","Điểm"
"Point History","Lịch sử biến động điểm"
"Point to Trade","Điểm đổi"
"Priority","Độ ưu tiên"
"Reason","Lí do"
"Recover","Lấy lại"
"Redemption gift does not exist","Quyền lợi không tồn tại"
"Redemption Gift Id","Id quyền lợi",
"Redemption Gift Information","Thông tin quyền lợi"
"Redemption Gift List","Danh sách quyền lợi"
"Redemption Gift Name","Tên quyền lợi",
"Redemption Gift","Quyền lợi"
"Redemption History","Lịch sử quy đổi"
"Redemption History List","Lịch sử quy đổi quyền lợi"
"Redemption","Quy đổi thành tích"
"Refer agent","Giới thiệu đặc vụ"
"# Refered","# Đã giới thiệu"
"Refered List","Danh sách đặc vụ đã giới thiệu"
"Require to Update","Cần cập nhật"
"Require Update","Yêu cầu cập nhật thêm"
"Reset Filter","Xóa bộ lọc"
"Rule Id","Id Rule giảm giá"
"Rule Name","Rule giảm giá"
"Social Network","Mạng xã hội"
"Substract Point","Giảm điểm"
"Successfully Actived Agent Achievement Type","Hiệu lực hình thức  thành công"
"Successfully Actived Channel","Hiệu lực kênh thành công"
"Successfully Deactived Agent Achievement Type","Vô hiệu hình thức thành công"
"Successfully Deactived Channel","Vô hiệu kênh thành công"
"Successfully Deleted Achievement","Xóa thành tích thành công"
"Successfully Deleted Agent Account","Xóa tài khoản thành công"
"Successfully Deleted Agent Achievement Type","Xóa hình thức thành công"
"Successfully Deleted Agent","Xóa đặc vụ thành công"
"Successfully Deleted Channel","Xóa kênh thành công"
"Successfully Deleted Redemption Gift","Xóa quyền lợi thành công"
"Successfully Deleted Redemption Gift","Xóa thành công quyền lợi"
"Successfully Mass Change Agent Point","Thay đổi điểm thành công"
"Successfully Recovered Agent","Lấy lại đặc vụ thành công"
"Successfully Saved Agent Account","Lưu tài khoản đặc vụ thành công"
"Successfully Saved Agent Achievement","Lưu thành tích thành công"
"Successfully Saved Agent Achievement Type","Lưu hình thức thành công"
"Successfully Saved Agent Information","Lưu thông tin đặc vụ thành công"
"Successfully Saved Channel","Lưu kênh thành công"
"Successfully Saved Redemption Gift","Lưu quyền lợi thành công"
"Tekshop Agent","Đặc vụ Tekshop"
"Times used","Số lần đã sử dụng"
"Times used this type today","# Sử dụng trong ngày tạo"
"Total Times use","Số lần sử dụng"
"Updated At","Ngày sửa"
"Updated By","Người sửa"
"Used Point","Điểm đã sử dụng"
"Value (Spent Point)","Điểm để đổi quyền lợi",
"Verified","Phê duyệt"
"Verify achievement","Duyệt bài viết"
"Verify Achievements","Phê duyệt thành tích"
"Verify","Phê duyệt"
"Waiting to Verify","Chờ duyệt"
