"Created","Đã tạo"
"Imported","Đã xử lý"
"Deleted","Đã hủy"
"Created By","Người tạo"
"Created At","Ngày tạo"
"Status","Trạng thái"
"Description","Mô tả"
"Requested Store","Kho xuất"
"Code","Mã"
"Supplier Name","Nhà cung cấp"
"User","Người tạo"
"Create Purchase","Tạo yêu cầu mua hàng"
"Manage Purchase","Danh sách yêu cầu mua hàng"
"Create Stock Transfer","Tạo yêu cầu chuyển kho"
"Manage Stock Transfer","Danh sách yêu cầu chuyển kho"
"Purchase","Đặt hàng"
"Create other purchase","Tạo yêu cầu mua hàng lẻ"
"Create Purchase from order","Xử lý yêu cầu hàng theo đơn hàng"
"Create supplier purchase","Tạo yêu cầu mua từ nhà cung cấp"
"Create order purchase","Tạo yêu cầu mua từ đơn hàng"
"Purchase Order","Yêu cầu mua từ đơn hàng"
"Receive Date","Ngày nhận dự kiến"
"Check purchase request","Xác nhận yêu cầu hàng"
